 veh,       n,       p,   ASM
  19, 5000.00,  75.000, 0.000
  19, 5001.00,   1.000, 0.000
  20,  750.00,   6.000, 0.000
  20, 1000.00,  15.000, 0.000
  20, 1250.00,  30.000, 0.000
  20, 1500.00,  35.000, 0.000
  20, 1750.00,  40.000, 0.000
  20, 2000.00,  45.000, 0.000
  20, 2250.00,  50.000, 0.000
  20, 2500.00,  55.000, 0.000
  20, 2750.00,  60.000, 0.000
  20, 3000.00,  65.000, 0.000
  20, 3250.00,  70.000, 0.000
  20, 3500.00,  73.000, 0.000
  20, 3750.00,  74.000, 0.000
  20, 4000.00,  73.000, 0.000
  20, 4250.00,  72.000, 0.000
  20, 4500.00,  70.000, 0.000
  20, 4750.00,  68.000, 0.000
  20, 5000.00,  66.000, 0.000
  21,  750.00,   8.000, 0.000
  21,  900.00,  11.000, 0.000
  21, 1000.00,  14.000, 0.000
  21, 1250.00,  25.000, 0.000
  21, 1500.00,  40.000, 0.000
  21, 1750.00,  50.000, 0.000
  21, 2000.00,  57.000, 0.000
  21, 2500.00,  70.000, 0.000
  21, 3000.00,  77.000, 0.000
  21, 3500.00,  80.000, 0.000
  21, 4000.00,  77.000, 0.000
  21, 4200.00,  75.000, 0.000
  22,  750.00,   8.000, 0.000
  22,  900.00,  11.000, 0.000
  22, 1000.00,  14.000, 0.200
  22, 1250.00,  25.000, 0.300
  22, 1500.00,  40.000, 0.200
  22, 1750.00,  50.000, 0.000
  22, 2000.00,  57.000, 0.000
  22, 2500.00,  70.000, 0.000
  22, 3000.00,  77.000, 0.000
  22, 3500.00,  80.000, 0.000
  22, 4000.00,  77.000, 0.000
  22, 4200.00,  75.000, 0.000
  23, 1200.00,  27.359, 0.000
  23, 1300.00,  31.939, 0.000
  23, 1400.00,  36.521, 0.000
  23, 1500.00,  41.180, 0.000
  23, 1600.00,  45.894, 0.000
  23, 1700.00,  50.607, 0.000
  23, 1800.00,  55.009, 0.000
  23, 1900.00,  58.957, 0.000
  23, 2000.00,  62.903, 0.000
  23, 2100.00,  66.610, 0.000
  23, 2200.00,  69.228, 0.000
  23, 2300.00,  71.873, 0.000
  23, 2400.00,  74.517, 0.000
  23, 2500.00,  76.086, 0.000
  23, 2600.00,  77.656, 0.000
  23, 2700.00,  79.229, 0.000
  23, 2800.00,  80.631, 0.000
  23, 2900.00,  81.995, 0.000
  23, 3000.00,  83.356, 0.000
  23, 3100.00,  84.451, 0.000
  23, 3200.00,  85.363, 0.000
  23, 3300.00,  86.274, 0.000
  23, 3400.00,  87.017, 0.000
  23, 3500.00,  87.516, 0.000
  23, 3600.00,  88.012, 0.000
  23, 3700.00,  88.508, 0.000
  23, 3800.00,  89.005, 0.000
  23, 3900.00,  89.503, 0.000
  23, 4000.00,  90.000, 0.000
  23, 4100.00,  86.825, 0.000
  23, 4200.00,  83.650, 0.000
  23, 4300.00,  80.475, 0.000
  23, 4400.00,  77.300, 0.000
  23, 4500.00,  74.125, 0.000
  23, 4600.00,  70.950, 0.000
  23, 4700.00,  67.775, 0.000
  23, 4800.00,  64.600, 0.000
  24,  900.00,   2.500, 0.000
  24, 1000.00,   3.171, 0.000
  24, 1100.00,   3.842, 0.000
  24, 1200.00,   4.512, 0.000
  24, 1300.00,   5.183, 0.000
  24, 1400.00,   5.854, 0.000
  24, 1500.00,   6.527, 0.000
  24, 1600.00,   7.146, 0.000
  24, 1700.00,   7.764, 0.000
  24, 1800.00,   8.264, 0.000
  24, 1900.00,   8.742, 0.000
  24, 2000.00,   9.220, 0.000
  24, 2100.00,   9.696, 0.000
  24, 2200.00,  10.228, 0.000
  24, 2300.00,  10.780, 0.000
  24, 2400.00,  11.333, 0.000
  24, 2500.00,  11.886, 0.000
  24, 2600.00,  12.457, 0.000
  24, 2700.00,  13.039, 0.000
  24, 2800.00,  13.622, 0.000
  24, 2900.00,  14.204, 0.000
  24, 3000.00,  14.767, 0.000
  24, 3100.00,  15.311, 0.000
  24, 3200.00,  15.854, 0.000
  24, 3300.00,  16.398, 0.000
  24, 3400.00,  16.948, 0.000
  24, 3500.00,  17.508, 0.000
  24, 3600.00,  18.068, 0.000
  24, 3700.00,  18.629, 0.000
  24, 3800.00,  19.193, 0.000
  24, 3900.00,  19.769, 0.000
  24, 4000.00,  20.345, 0.000
  24, 4100.00,  20.921, 0.000
  24, 4200.00,  21.489, 0.000
  24, 4300.00,  22.016, 0.000
  24, 4400.00,  22.545, 0.000
  24, 4500.00,  23.075, 0.000
  24, 4600.00,  23.591, 0.000
  24, 4700.00,  23.940, 0.000
  24, 4800.00,  24.293, 0.000
  24, 4900.00,  24.647, 0.000
  24, 5000.00,  25.000, 0.000
  24, 5100.00,  24.730, 0.000
  24, 5200.00,  24.459, 0.000
  24, 5300.00,  24.189, 0.000
  24, 5400.00,  23.919, 0.000
  24, 5500.00,  23.648, 0.000
  24, 5600.00,  23.378, 0.000
  24, 5700.00,  23.108, 0.000
  24, 5800.00,  22.837, 0.000
  24, 5900.00,  22.567, 0.000
  24, 6000.00,  22.297, 0.000
  25, 1200.00,  12.160, 0.000
  25, 1300.00,  14.200, 0.000
  25, 1400.00,  16.230, 0.000
  25, 1500.00,  18.300, 0.000
  25, 1600.00,  20.400, 0.000
  25, 1700.00,  22.490, 0.000
  25, 1800.00,  24.450, 0.000
  25, 1900.00,  26.200, 0.000
  25, 2000.00,  27.960, 0.000
  25, 2100.00,  29.600, 0.000
  25, 2200.00,  30.770, 0.000
  25, 2300.00,  31.940, 0.000
  25, 2400.00,  33.120, 0.000
  25, 2500.00,  33.820, 0.000
  25, 2600.00,  34.520, 0.000
  25, 2700.00,  35.210, 0.000
  25, 2800.00,  35.840, 0.000
  25, 2900.00,  36.440, 0.000
  25, 3000.00,  37.050, 0.000
  25, 3100.00,  37.530, 0.000
  25, 3200.00,  37.940, 0.000
  25, 3300.00,  38.340, 0.000
  25, 3400.00,  38.680, 0.000
  25, 3500.00,  38.900, 0.000
  25, 3600.00,  39.120, 0.000
  25, 3700.00,  39.340, 0.000
  25, 3800.00,  39.560, 0.000
  25, 3900.00,  39.780, 0.000
  25, 4000.00,  40.000, 0.000
  25, 4100.00,  38.590, 0.000
  25, 4200.00,  37.180, 0.000
  25, 4300.00,  35.760, 0.000
  25, 4400.00,  34.360, 0.000
  25, 4500.00,  32.940, 0.000
  25, 4600.00,  31.530, 0.000
  25, 4700.00,  30.120, 0.000
  25, 4800.00,  28.710, 0.000
  26, 1200.00,   0.650, 0.000
  26, 1300.00,   1.092, 0.000
  26, 1400.00,   1.534, 0.000
  26, 1500.00,   1.976, 0.000
  26, 1600.00,   2.417, 0.000
  26, 1700.00,   2.861, 0.000
  26, 1800.00,   3.315, 0.000
  26, 1900.00,   3.769, 0.000
  26, 2000.00,   4.163, 0.000
  26, 2100.00,   4.543, 0.000
  26, 2200.00,   4.872, 0.000
  26, 2300.00,   5.127, 0.000
  26, 2400.00,   5.382, 0.000
  26, 2500.00,   5.533, 0.000
  26, 2600.00,   5.684, 0.000
  26, 2700.00,   5.823, 0.000
  26, 2800.00,   5.955, 0.000
  26, 2900.00,   6.078, 0.000
  26, 3000.00,   6.165, 0.000
  26, 3100.00,   6.253, 0.000
  26, 3200.00,   6.309, 0.000
  26, 3300.00,   6.356, 0.000
  26, 3400.00,   6.404, 0.000
  26, 3500.00,   6.452, 0.000
  26, 3600.00,   6.500, 0.000
  26, 3700.00,   6.194, 0.000
  26, 3800.00,   5.889, 0.000
  26, 3900.00,   5.583, 0.000
  26, 4000.00,   5.277, 0.000
  26, 4100.00,   4.971, 0.000
  26, 4200.00,   4.666, 0.000
  26, 4300.00,   4.360, 0.000
  26, 4320.00,   4.299, 0.000
  27,  900.00,   1.550, 0.000
  27, 1000.00,   2.562, 0.000
  27, 1100.00,   3.575, 0.000
  27, 1200.00,   4.586, 0.000
  27, 1300.00,   5.595, 0.000
  27, 1400.00,   6.605, 0.000
  27, 1500.00,   7.644, 0.000
  27, 1600.00,   8.683, 0.000
  27, 1700.00,   9.638, 0.000
  27, 1800.00,  10.507, 0.000
  27, 1900.00,  11.376, 0.000
  27, 2000.00,  11.959, 0.000
  27, 2100.00,  12.542, 0.000
  27, 2200.00,  13.007, 0.000
  27, 2300.00,  13.352, 0.000
  27, 2400.00,  13.698, 0.000
  27, 2500.00,  13.999, 0.000
  27, 2600.00,  14.300, 0.000
  27, 2700.00,  14.551, 0.000
  27, 2800.00,  14.752, 0.000
  27, 2900.00,  14.953, 0.000
  27, 3000.00,  15.062, 0.000
  27, 3100.00,  15.171, 0.000
  27, 3200.00,  15.281, 0.000
  27, 3300.00,  15.390, 0.000
  27, 3400.00,  15.500, 0.000
  27, 3500.00,  14.880, 0.000
  27, 3600.00,  14.260, 0.000
  27, 3700.00,  13.640, 0.000
  27, 3800.00,  13.020, 0.000
  27, 3900.00,  12.400, 0.000
  27, 4000.00,  11.780, 0.000
  27, 4100.00,  11.160, 0.000
  27, 4200.00,  10.540, 0.000
  27, 4300.00,   9.920, 0.000
  27, 4400.00,   9.300, 0.000
  27, 4500.00,   8.680, 0.000
  27, 4600.00,   8.060, 0.000
  27, 4700.00,   7.440, 0.000
  27, 4800.00,   6.820, 0.000
  27, 4900.00,   6.200, 0.000
  27, 5000.00,   5.580, 0.000
  28,  850.00,   2.910, 0.000
  28,  900.00,   4.069, 0.000
  28,  950.00,   5.228, 0.000
  28, 1000.00,   6.387, 0.000
  28, 1050.00,   7.546, 0.000
  28, 1100.00,   8.702, 0.000
  28, 1150.00,   9.858, 0.000
  28, 1200.00,  11.013, 0.000
  28, 1250.00,  12.168, 0.000
  28, 1300.00,  13.352, 0.000
  28, 1350.00,  14.542, 0.000
  28, 1400.00,  15.731, 0.000
  28, 1450.00,  16.924, 0.000
  28, 1500.00,  17.973, 0.000
  28, 1550.00,  18.969, 0.000
  28, 1600.00,  19.964, 0.000
  28, 1650.00,  20.960, 0.000
  28, 1700.00,  21.755, 0.000
  28, 1750.00,  22.425, 0.000
  28, 1800.00,  23.093, 0.000
  28, 1850.00,  23.758, 0.000
  28, 1900.00,  24.290, 0.000
  28, 1950.00,  24.688, 0.000
  28, 2000.00,  25.084, 0.000
  28, 2050.00,  25.480, 0.000
  28, 2100.00,  25.855, 0.000
  28, 2150.00,  26.200, 0.000
  28, 2200.00,  26.544, 0.000
  28, 2250.00,  26.887, 0.000
  28, 2300.00,  27.200, 0.000
  28, 2350.00,  27.428, 0.000
  28, 2400.00,  27.658, 0.000
  28, 2450.00,  27.888, 0.000
  28, 2500.00,  28.101, 0.000
  28, 2550.00,  28.223, 0.000
  28, 2600.00,  28.348, 0.000
  28, 2650.00,  28.473, 0.000
  28, 2700.00,  28.598, 0.000
  28, 2750.00,  28.723, 0.000
  28, 2800.00,  28.849, 0.000
  28, 2850.00,  28.974, 0.000
  28, 2900.00,  29.100, 0.000
  28, 2950.00,  28.299, 0.000
  28, 3000.00,  27.498, 0.000
  28, 3050.00,  26.696, 0.000
  28, 3100.00,  25.895, 0.000
  28, 3150.00,  25.094, 0.000
  28, 3200.00,  24.293, 0.000
  28, 3250.00,  23.491, 0.000
  28, 3300.00,  22.690, 0.000
  28, 3350.00,  21.889, 0.000
  28, 3400.00,  21.088, 0.000
  28, 3450.00,  20.286, 0.000
  28, 3480.00,  19.806, 0.000
  29,  700.00,  16.200, 0.000
  29,  800.00,  24.215, 0.000
  29,  900.00,  32.231, 0.000
  29, 1000.00,  40.246, 0.000
  29, 1100.00,  48.247, 0.000
  29, 1200.00,  56.242, 0.000
  29, 1300.00,  64.237, 0.000
  29, 1400.00,  72.326, 0.000
  29, 1500.00,  80.552, 0.000
  29, 1600.00,  88.782, 0.000
  29, 1700.00,  96.910, 0.000
  29, 1800.00, 103.756, 0.000
  29, 1900.00, 110.638, 0.000
  29, 2000.00, 117.572, 0.000
  29, 2100.00, 122.596, 0.000
  29, 2200.00, 127.208, 0.000
  29, 2300.00, 131.810, 0.000
  29, 2400.00, 135.488, 0.000
  29, 2500.00, 138.240, 0.000
  29, 2600.00, 140.980, 0.000
  29, 2700.00, 143.654, 0.000
  29, 2800.00, 146.027, 0.000
  29, 2900.00, 148.408, 0.000
  29, 3000.00, 150.811, 0.000
  29, 3100.00, 152.461, 0.000
  29, 3200.00, 154.052, 0.000
  29, 3300.00, 155.638, 0.000
  29, 3400.00, 156.797, 0.000
  29, 3500.00, 157.664, 0.000
  29, 3600.00, 158.529, 0.000
  29, 3700.00, 159.395, 0.000
  29, 3800.00, 160.264, 0.000
  29, 3900.00, 161.132, 0.000
  29, 4000.00, 162.000, 0.000
  29, 4100.00, 156.458, 0.000
  29, 4200.00, 150.916, 0.000
  29, 4300.00, 145.374, 0.000
  29, 4400.00, 139.833, 0.000
  29, 4500.00, 134.291, 0.000
  29, 4600.00, 128.749, 0.000
  29, 4700.00, 123.207, 0.000
  29, 4800.00, 117.665, 0.000
  30,  900.00,  35.700, 0.000
  30, 1000.00,  40.867, 0.000
  30, 1100.00,  46.035, 0.000
  30, 1200.00,  51.202, 0.000
  30, 1300.00,  56.370, 0.000
  30, 1400.00,  61.537, 0.000
  30, 1500.00,  66.705, 0.000
  30, 1600.00,  71.872, 0.000
  30, 1700.00,  77.040, 0.000
  30, 1800.00,  82.206, 0.000
  30, 1900.00,  87.372, 0.000
  30, 2000.00,  92.568, 0.000
  30, 2100.00,  97.455, 0.000
  30, 2200.00, 102.168, 0.000
  30, 2300.00, 106.873, 0.000
  30, 2400.00, 111.674, 0.000
  30, 2500.00, 115.495, 0.000
  30, 2600.00, 119.185, 0.000
  30, 2700.00, 122.858, 0.000
  30, 2800.00, 126.539, 0.000
  30, 2900.00, 130.219, 0.000
  30, 3000.00, 133.895, 0.000
  30, 3100.00, 137.580, 0.000
  30, 3200.00, 141.338, 0.000
  30, 3300.00, 145.641, 0.000
  30, 3400.00, 149.892, 0.000
  30, 3500.00, 154.152, 0.000
  30, 3600.00, 158.412, 0.000
  30, 3700.00, 162.672, 0.000
  30, 3800.00, 166.933, 0.000
  30, 3900.00, 171.178, 0.000
  30, 4000.00, 175.582, 0.000
  30, 4100.00, 180.074, 0.000
  30, 4200.00, 184.562, 0.000
  30, 4300.00, 189.048, 0.000
  30, 4400.00, 193.535, 0.000
  30, 4500.00, 198.023, 0.000
  30, 4600.00, 202.504, 0.000
  30, 4700.00, 206.996, 0.000
  30, 4800.00, 211.178, 0.000
  30, 4900.00, 215.372, 0.000
  30, 5000.00, 219.559, 0.000
  30, 5100.00, 223.746, 0.000
  30, 5200.00, 227.934, 0.000
  30, 5300.00, 232.121, 0.000
  30, 5400.00, 236.306, 0.000
  30, 5500.00, 240.540, 0.000
  30, 5600.00, 244.863, 0.000
  30, 5700.00, 249.178, 0.000
  30, 5800.00, 253.492, 0.000
  30, 5900.00, 257.807, 0.000
  30, 6000.00, 262.122, 0.000
  30, 6100.00, 266.439, 0.000
  30, 6200.00, 270.745, 0.000
  30, 6300.00, 275.164, 0.000
  30, 6400.00, 279.599, 0.000
  30, 6500.00, 284.036, 0.000
  30, 6600.00, 288.472, 0.000
  30, 6700.00, 292.908, 0.000
  30, 6800.00, 297.346, 0.000
  30, 6900.00, 301.778, 0.000
  30, 7000.00, 306.165, 0.000
  30, 7100.00, 310.214, 0.000
  30, 7200.00, 314.295, 0.000
  30, 7300.00, 318.371, 0.000
  30, 7400.00, 322.447, 0.000
  30, 7500.00, 326.521, 0.000
  30, 7600.00, 330.591, 0.000
  30, 7700.00, 334.752, 0.000
  30, 7800.00, 337.974, 0.000
  30, 7900.00, 340.664, 0.000
  30, 8000.00, 343.382, 0.000
  30, 8100.00, 346.107, 0.000
  30, 8200.00, 348.830, 0.000
  30, 8300.00, 351.554, 0.000
  30, 8400.00, 354.277, 0.000
  30, 8500.00, 357.000, 0.000
  30, 8600.00, 354.917, 0.000
  30, 8700.00, 352.835, 0.000
  30, 8800.00, 350.752, 0.000
  31,  850.00,   5.150, 0.000
  31,  900.00,   5.700, 0.000
  31,  950.00,   6.250, 0.000
  31, 1000.00,   6.800, 0.000
  31, 1050.00,   7.350, 0.000
  31, 1100.00,   7.900, 0.000
  31, 1150.00,   8.450, 0.000
  31, 1200.00,   9.000, 0.000
  31, 1250.00,   9.550, 0.000
  31, 1300.00,  10.100, 0.000
  31, 1350.00,  10.650, 0.000
  31, 1400.00,  11.200, 0.000
  31, 1450.00,  11.750, 0.000
  31, 1500.00,  12.301, 0.000
  31, 1550.00,  12.849, 0.000
  31, 1600.00,  13.405, 0.000
  31, 1650.00,  13.928, 0.000
  31, 1700.00,  14.426, 0.000
  31, 1750.00,  14.931, 0.000
  31, 1800.00,  15.430, 0.000
  31, 1850.00,  15.944, 0.000
  31, 1900.00,  16.404, 0.000
  31, 1950.00,  16.783, 0.000
